iso;Country;KICKOFF_TRACKERID;type;description;comment;likelihood;impact;risktreatment;mitigationMeasure
GHA;Ghana;343;risk;Lack of commitments from OMT members to spend time on common services activities;;Possible;Significant Concern;Control;OMT to discuss with UNCT and  find solutions.
GHA;Ghana;343;risk;Poor quality of services from service provider;;Possible;Slight Concern;Transfer;OMT to discuss with Procurement and Admin WGs and  find solutions.
GHA;Ghana;343;risk;Price fluctuation may affect the planned outcome;;Possible;Significant Concern;Transfer;OMT to discuss with Finance WG and  find solutions.
GIN;Guinea;345;risk;Absence d’accord au niveau des sièges pour la fourniture du VSAT;;Negligible;Slight Concern;Monitor;S'assurer de toujours utiliser les entreprises
GIN;Guinea;345;risk;Corruption des agents du SNU par les prestataires;;Possible;High Concern;Avoid;Clarifier les procedures de soumissions et mettre la mention contre la corruption dans les clauses.
GIN;Guinea;345;risk;Difficultés à trouver des consultants pour toutes les agences dans tous les domaines requis.;;Possible;Significant Concern;Control;Roster mise à jour régulièrement. Reseautage avec les autres organismes dans le lieu d'affectation.
GIN;Guinea;345;risk;Inexistence de fournisseurs locaux capables de fournir les quantités requises;;Negligible;Slight Concern;Control;Faire de larges diffusion des offres.
GIN;Guinea;345;risk;Le faible niveau d'engagement des membres de l'OMT à mettre en œuvre les services communs.;;Remote;Minimal;Monitor;Organiser des réunions régulières de suivi et résoudre les problèmes identifiés.
GIN;Guinea;345;risk;Recrutement de fournisseurs n’offrant pas des services de qualité;;Possible;Slight Concern;Control;Conduite systematique de references professionnelles avec trois anciens superviseurs du candidat en cours de recommendation
GIN;Guinea;345;risk;Sous-estimation des besoins des agences au moment de la publication des appels d’offres.;;Negligible;Slight Concern;Monitor;Veuiller à consulter regulièrement.
GIN;Guinea;345;risk;Vol des fonds du SNU;;Possible;High Concern;Avoid;Priviligier les methodes traçable de transfert des ressouces vers les beneficiaires en reduisant les intermediaires.
JOR;Jordan;351;risk;lack of commitment from potential agencies to join the common LTAs;;Possible;Negligible;Transfer;lack of commitment from potential agencies to join the common LTAs
JOR;Jordan;351;risk;Lack of commitment from UN agencies to use the job posting tools;;Possible;Minimal;Monitor;remind agencies to utilize available tools
KGZ;Kyrgyzstan;353;risk;Funding for OMT activities not available.;;Negligible;Slight Concern;Control;Conduct meetings online. Mobilize funding at the level of UNCT to conduct OMT retreat, and other activities
KGZ;Kyrgyzstan;353;risk;Human Resources surveys delayed due to COVID-19, understaffing;;Remote;Negligible;Accept;All relevant processes can be conducted online, relevant staff can be requested from other agencies  to provide support
KGZ;Kyrgyzstan;353;risk;Procurement staff does not get enough time to participate in the maintenance and update of LTAs data;;Possible;Slight Concern;Control;Common procurement team to include more members from agencies to be able to back up each other
KGZ;Kyrgyzstan;353;risk;Some UN activities (e.g. UN Day) postponed or delayed due to COVID-19.;;Negligible;Minor;Accept;It is recommended to use hybrid approach
KGZ;Kyrgyzstan;353;risk;Some UN staff (members of OMT) not released to participate in activities related to BOS implementati;;Possible;Slight Concern;Control;to reach out respective HoA, share information on the importance of BOS implementation at the level of UNCT and PMT, OMT
LBN;Lebanon;354;risk;Interruption of services due to external factors related to security and access. Situation to be monitored. Need to have more than one LTA holder/CA contractor to create redundancies in the Supply Cha;;Possible;Slight Concern;Control;Shifting the clearances to a secondary LTA holder.
LBN;Lebanon;354;risk;Lack of ability to handle multiple and diverse clearances at the same time on behalf of several UN Agencies.;;Highly Possible;Significant Concern;Transfer;Use the multiple LTA holders to overcome the surge in clearances, by segregating cargo type or by Agencies.
LBN;Lebanon;354;risk;Market does not have sufficient capacity to accommodate the diverse services required.;;Remote;Minimal;Avoid;A full strategic sourcing to be conducted to evaluate the capabilities of the each/majority CA in the market.
LSO;Lesotho;355;risk;Lack of competition due to few certified services providers locally for maintenance of  the specific;;Negligible;Minor;Accept;Certified service providers are available in the country
LSO;Lesotho;355;risk;Lack of recycling facilities in the country;;Possible;Slight Concern;Transfer;Explore available recycling facilities in the neighbouring country
LSO;Lesotho;355;risk;Perfomance results are unsatisfactory where there is only limited service providers in the country a;;Possible;Slight Concern;Accept;Financial service provides are available in the country
LSO;Lesotho;355;risk;The local market is not developed to get service providers with the right capacity for each category;;Possible;Slight Concern;Transfer;Explore markets of neighbouring countries mainly South Africa
MDV;Maldives;358;risk;Common finance risk- cooperation from governmnet for macro assessment and support from Implementing;;Possible;Minor;Monitor;inform agencies about the estimated budget and coordinate well
MDV;Maldives;358;risk;Resources in terms of staff time and finances are available for the implementation of BOS;;Possible;Minor;Transfer;Better coordination with Regional Office to ensure the availability of external training service provider.
MLI;Mali;359;risk;Implication limité des AFP sur le BOS;;Possible;Significant Concern;Accept;Faire le suivi pour assurer l'implication du personnel.
MLI;Mali;359;risk;Persistance de l'embargo  et sanctions CEDEAO/UEMOA;;Possible;Significant Concern;Monitor;Mise en place de comité de suivi des incidendes des sanctions de la CEDEAO pour le suivi et recommandations d'actions de mitigation.
MLI;Mali;359;risk;Situation persistante de la pandémie de la COVID-19 entrainant un engagement limité des AFPs dans le activités du BOS;;Negligible;Minimal;Accept;Suivi et mise en œuvre de mesure COVID-19
MLI;Mali;359;risk;Toutes les Agences, Fonds et Programmes des Nations Unies pourraient ne pas mettre leur contribution;;Possible;Slight Concern;Control;L'OMT en discutera avec l'UNCT et trouvera des solutions
MLI;Mali;359;risk;Transition politique avec risque des troubles sécuritaires et sociaux;;Negligible;Slight Concern;Monitor;Faire le suivi de la situation et anticiper sur des mesures de continuité de service en cas d'incident securitaire.
MRT;Mauritania;360;risk;Absence de mobilisation du groupe de travail pour le suivi de la mise en oeuvre du serivce.;;Possible;Slight Concern;Control;Definir un plan de travail du groupe et mettre en place des réunion mensuelles (une réunion chaque) . Le lieu de la réunion sera tournante entre les agences pour permettre la participations des membre
MRT;Mauritania;360;risk;Faible utilisation  des services communs négociés.;;Negligible;Minor;Transfer;Faire un partage élargie au niveau des agences et mettre en place des séance de communication
MRT;Mauritania;360;risk;Insolvabilité des fournisseurs contractés par LTA.;;Possible;Minor;Transfer;Demander des garanties aux fournisseurs
MRT;Mauritania;360;risk;Le non respect par les prestataires de services des engagements négociés;;Possible;Significant Concern;Avoid;Mentionner dans les accords avec les prestataires des pénalités de retard et de non respect des engagements
MRT;Mauritania;360;risk;Retard dans la mise en œuvre des activités identifiées pour chaque service.;;Negligible;Negligible;Accept;Mettre en place un planniong de suivi des activité et nommé un point focal par activité.
MUS;Mauritius;361;risk;The is a risk of not achieving the planned target due to changes in HR policies from participating a;;Possible;High Concern;Monitor;Request the UNCT's support to minimize the risk
MUS;Mauritius;361;risk;There is a medium level risk of trainers from UN agencies not being available when we planned the tr;;Negligible;Negligible;Transfer;Use of roster database for consultants will be explored
MUS;Mauritius;361;risk;UN Organizations may not participate for common LTAs;;Negligible;Slight Concern;Accept;Informal negotiation with suppliers with participation of UN agencies enlisted  ( not willing to participate in LTA)
MUS;Mauritius;361;risk;UN Organizations may not utilize the established common LTA;;Negligible;Minimal;Accept;This risk does not have high impact to achieve the  outcome of the activity.
MUS;Mauritius;361;risk;UN Organizations will not get a good quality of services due to lack of vendors/ providers;;Negligible;Slight Concern;Transfer;Outsourcing printing services to vendors outside Mauritius
MNG;Mongolia;363;risk;Risk associated with the covid-19, which might prevent the implementation;;Remote;Minimal;Accept;Control the situation and plan ahead
MNE;Montenegro;364;risk;Lack of internal capacities to implement the number of services re. disability inclusion;;Highly Possible;Slight Concern;Accept;The UN HQ, High Impact Common Services Unit would be contacted for support in capacity building in order to train staff.
MNE;Montenegro;364;risk;New tender for ISP due in 2023 can result in more expensive or worse internet services.;;Possible;Slight Concern;Transfer;The increase of costs will be budgeted in 2023 common services budget
MOZ;Mozambique;365;risk;Agencies not having the latitude at country level to select banking partner;;Remote;Negligible;Control;RCO to engage Agencies at the corporate level
MOZ;Mozambique;365;risk;Currency fluctuation of the US Dollar might impact realizing certain cost efficiencies;;Highly Possible;Significant Concern;Control;"Agencies to consider contingencies in their budgeting planning. 

Forecasting the future cost of implementation of programmes"
MOZ;Mozambique;365;risk;Data will not be available to ensure completion of all required micro assessments;;Remote;Minimal;Control;OMT will dices with the WG and finds solution
MOZ;Mozambique;365;risk;Delivery of internet within the country may not support web based common service innovations;;Negligible;Minor;Transfer;OMT will dices with the WG and finds solution
MOZ;Mozambique;365;risk;Headquarter policies do not support unified country based approaches to joint procurement services;;Possible;Minor;Avoid;OMT will dices with the WG and finds solution
MOZ;Mozambique;365;risk;Lack of input from agencies during solicitation process.;;Possible;Slight Concern;Avoid;Organize regular learning sessions to ensure staff gain knowledge on all attributes of data entry in BOS
MOZ;Mozambique;365;risk;Lack of input from Agencies during the solicitation process;;Possible;Slight Concern;Control;Engage UNCT to ensure participation of all agencies
MOZ;Mozambique;365;risk;Liquidity risk: financial crisis pushes the central bank to limit access to hard currency (Agencies;;Possible;Minimal;Control;"Agencies to consider contingencies in their budgeting planning. 

Forecasting the future cost of implementation of programmes"
MOZ;Mozambique;365;risk;Not all agencies are fully committed to participate in this initiative;;Possible;Minimal;Control;OMT will dices with the WG and finds solution
MOZ;Mozambique;365;risk;Not all Agencies will want to join in common premise, thereby reduced chances to achieve proper econ;;Remote;Negligible;Control;OMT will dices with the WG and finds solution
MOZ;Mozambique;365;risk;Not all UN Agencies are willing to implement green sustainable services;;Possible;Slight Concern;Control;OMT will dices with the WG and finds solution
MOZ;Mozambique;365;risk;Not enough Agencies are willing to harmonize systems and contracts, rendering this initiative cost-i;;Negligible;Negligible;Control;OMT will dices with the WG and finds solution
MOZ;Mozambique;365;risk;That all Agencies might not  join common financial agreement, undermining the UN's position to negot;;Remote;Minor;Control;OMT will dices with the WG and finds solution
MOZ;Mozambique;365;risk;That UN agency inputs into human resources surveys are not received within prescribed timeframes;;Remote;Minimal;Transfer;OMT will dices with the WG and finds solution
MOZ;Mozambique;365;risk;The candidates included in the database are not available to participate in the recruitment process;;Negligible;Minimal;Avoid;Set up alternative mechanism is place to ensure business continuity
MOZ;Mozambique;365;risk;The competitive process not yielding a suitable financial partner;;Possible;Minimal;Control;OMT will dices with the WG and finds solution
MOZ;Mozambique;365;risk;The local market cannot fulfill the required consultancy profiles in the common roster;;Negligible;Minimal;Transfer;OMT will dices with the WG and finds solution
MOZ;Mozambique;365;risk;The UN system will not be able to access the resources needed to provide capacity development;;Possible;Minimal;Control;Identify internal SMEs to provide frequent training on BOS
MMR;Myanmar;366;risk;A further deterioration in the security situation leads to reduced UN operations in parts of Myanmar.;;Possible;Significant Concern;Monitor;Monitoring of the security situation, updating of business contingency plans and of the programme criticality exercise.
MMR;Myanmar;366;risk;Challenges in extending MoUs and obtaining visas for staff hamper operational and capacities on the ground.;;Remote;Significant Concern;Control;Advocacy efforts ongoing.
MMR;Myanmar;366;risk;COVID-19 mitigation measures and restrictions continue to negatively impact operations and common services.;;Possible;Slight Concern;Monitor;Continue close monitoring of the COVID-19 situation in Myanmar and adapting the UNCT Myanmar COVID-19 operating mode regularly.
MMR;Myanmar;366;risk;"Restrictive banking regulations and increased scrutiny negatively impact payment
processes to implementing partners and for staff salaries.";;Possible;Significant Concern;Control;  Advocacy efforts ongoing.
MMR;Myanmar;366;risk;Tax Exemption permission for medical supplies is quite challenging for UN agencies it has been affected to high cost for clearance of cargo and affected for import of humaniataian supplies.;;Negligible;High Concern;Monitor;Try to explore the possible approaches with respective government counterparts.
MMR;Myanmar;366;risk;The financial stability of private banks and service providers is uncertain.;;Possible;Slight Concern;Monitor;
NPL;Nepal;367;risk;Delays in implementation of BOS activities due to the post pandemic situation in the country. Priorities given by agencies to their core programme activities.;;Possible;Significant Concern;Monitor;Prioritize activities and assign human resources to for timely implementation of BOS.
NPL;Nepal;367;risk;Lack of commitment from agencies due to different rules, regulations and policies.;;Possible;Slight Concern;Monitor;"Advocate to agencies for taking up good practices from participating agencies and highlighting impact of harmonization.

Establish UN Nepal specific guidelines covering all UN agencies."
NPL;Nepal;367;risk;Lack of management buy in for some agencies  HQs as the BOS is  country driven.;;Possible;Slight Concern;Transfer;Agencies to liaise continuously with their respective Region and HQs to demonstrate cost efficiency and quality in collaboration.
NER;Niger;368;risk;Delivery of internet within the country may not support web based common service innovations;;Negligible;Negligible;Avoid;OMT to Discuss with SMT to find the appropriate solution
NER;Niger;368;risk;Headquarter policies do not support unified country based approaches to joint procurement services;;Negligible;Negligible;Accept;OMT to Discuss with SMT to find the appropriate solution
NER;Niger;368;risk;Lack of input from Agencies during the solicitation process;;Possible;Minor;Control;OMT to Discuss with SMT to find the appropriate solution
NER;Niger;368;risk;Not all agencies are fully committed to participate in this initiative;;Negligible;Negligible;Accept;OM to Discuss with OMT to find appropriate Solution
NER;Niger;368;risk;Not enough Agencies are willing to harmonize systems and contracts, rendering this initiative cost-i;;Negligible;Negligible;Avoid;OM to Discuss with OMT to find appropriate Solution
NER;Niger;368;risk;That coordination and maintenance will behampered;;Negligible;Minimal;Accept;OM to Discuss with OMT to find appropriate Solution
NER;Niger;368;risk;The competitive process not yielding a suitable financial partner;;Possible;Slight Concern;Monitor;OM to Discuss with OMT to find appropriate Solution
NER;Niger;368;risk;The local market cannot fulfill the required staff profiles in the common roster;;Possible;Minor;Accept;OM to Discuss with OMT to find appropriate Solution
NER;Niger;368;risk;The UN system will not be able to access the resources needed to provide capacity development activi;;Negligible;Negligible;Monitor;OM to Discuss with OMT to find appropriate Solution
NGA;Nigeria;369;risk;A singular back-up system is susceptible to a cyber-attack, natural disaster or terrorist attack.;;Remote;Minimal;Control;OMT will control the risk
NGA;Nigeria;369;risk;Agencies have different energy objectives;;Possible;Slight Concern;Control;NA
NGA;Nigeria;369;risk;Agencies have different energy objectives;;Remote;Minimal;Control;NA
NGA;Nigeria;369;risk;Agencies have different internet usage policies and guidelines;;Possible;Slight Concern;Control;OMT will discuss with agencies and advocate to use the Mutual Recognition
NGA;Nigeria;369;risk;Agencies have different telecommunications policies and guidelines;;Remote;Minor;Accept;NA
NGA;Nigeria;369;risk;"Agencies have different telecommunications
policies and guidelines";;Possible;Minor;Accept;OMT will accept the risk
NGA;Nigeria;369;risk;Agencies have different training needs.;;Possible;Minimal;Monitor;OMT will monitor the needs and support the agencies to come to a consensus.
NGA;Nigeria;369;risk;Agencies have different training needs.;;Possible;Minor;Monitor;OMT will monitor the training needs and agree with a common training needs
NGA;Nigeria;369;risk;"Agencies have different
ICT policies and
guidelines";;Remote;Minimal;Accept;NA
NGA;Nigeria;369;risk;Agency guidelines dictate travel service providers;;Possible;Slight Concern;Accept;NA
NGA;Nigeria;369;risk;Agency-specific policies to guide consultants’ hire.;;Possible;Minimal;Accept;OMT will accept the outcome
NGA;Nigeria;369;risk;Apportioning cost of training especially for smaller agencies;;Remote;Minimal;Transfer;OMT will transfer the risk
NGA;Nigeria;369;risk;HQ/UNDSS guidelines on working environment;;Possible;Significant Concern;Monitor;OMT will monitor the situation
NGA;Nigeria;369;risk;Recruitment function in some agencies is undertaken at HQ level;;Possible;Slight Concern;Accept;OMT accept the impacts
NGA;Nigeria;369;risk;Some agencies’ policies may not permit joint counselling services;;Remote;Minimal;Transfer;OMT will review the  matter on a case by case basis
NGA;Nigeria;369;risk;Some agencies’ policies may not permit joint hiring/recruitment;;Remote;Minimal;Monitor;promotion of Mutual Recognition may help to convince the agencies
NGA;Nigeria;369;risk;Some agencies’ policies may not permit joint training;;Possible;Slight Concern;Accept;OMT will accept the risk
NGA;Nigeria;369;risk;Supply chain impact on port congestion and price unpredictability;;Highly Possible;Significant Concern;Monitor;Seek to develop fast track procedures applicable to imported supplies and equipment identified for use to aid Nigerians development
NGA;Nigeria;369;risk;Technology incongruence between agencies;;Negligible;Minor;Accept;The risk is accepted by the OMT
NGA;Nigeria;369;risk;Technology incongruence between agencies;;Possible;Minor;Control;NA
NGA;Nigeria;369;risk;"Technology incongruence between agencies
Assumptions";;Remote;Minimal;Control;NA
NGA;Nigeria;369;risk;Travel services determined at HQ or regional level;;Possible;Minor;Accept;NA
NGA;Nigeria;369;risk;UN staff are not willing to participate in the survey.;;Possible;Significant Concern;Control;OMT will inform UNCT
NGA;Nigeria;369;risk;UN staff may not open up to open counselling services;;Negligible;Minimal;Accept;OMT will accept
PAK;Pakistan;371;risk;Agencies focal points might not agree with the proposed policies/SOPs which will become a hindrance in the implementation of activities;;Possible;Slight Concern;Monitor;Agencies will be encouraged through UNCT to adopt policies
PAK;Pakistan;371;risk;Delay in making cost contribution for the joint activities will cause a delay in the implementation of activities.;;Possible;Significant Concern;Control;Regular monitoring and reporting on finances to the OMT and UNCT. IF agencies are not paying their shares, then UNCT will be informed and encouraged to make payments.
PAK;Pakistan;371;risk;Lack of interest in the activities might have an impact on the results;;Possible;Slight Concern;Monitor;Agencies will be encouraged through UNCT to participate in joint activities
PAK;Pakistan;371;risk;Lack/delay in provision of data for stock-taking exercise;;Highly Possible;Significant Concern;Monitor;OMT will be engaged and continuous updates will be shared with the OMT for non responsive agencies. If need arise, then UNCT will also be contacted to encourage their colleagues for provision of data
PAN;Panama;372;risk;Calidad de la information del video.;;Possible;Significant Concern;Control;Mantener actualizada la data del video.
MDA;Moldova;376;risk;Business disruptions due to COVID impact;;Possible;Slight Concern;Control;Ensure there are alternative arrangements in place to secure supply of necessary goods and services
MDA;Moldova;376;risk;Different priorities of UN Agencies at field level;;Possible;Minimal;Control;Engage UN Agencies in discussions in order to identify common areas of interest and engagement
MDA;Moldova;376;risk;Difficulties to find qualified candidates pertaining to under-represented groups.;;Possible;Slight Concern;Accept;Women empowerment
MDA;Moldova;376;risk;Impact of COVID-19 pandemics on joint activities and field offices' priorities;;Highly Possible;Slight Concern;Monitor;Adjust implementation plan based on the evolution of pandemics in the country and nationally imposed restrictions
MDA;Moldova;376;risk;Impact of L2/L3 Emergency response on joint activities and field offices' priorities;;Highly Possible;Significant Concern;Monitor;Adjust implementation plan based on the evolution of Ukrainian response and influx of refugees in the country
MDA;Moldova;376;risk;"Lack of sufficient buy-in and participation in common procurement from the UN agencies side;";;Possible;Negligible;Control;Promote benefits of participation in the common procurement activities
MDA;Moldova;376;risk;Lack of sufficient buy-in and participation in organizing common annual learning initiatives;;Possible;Minimal;Avoid;Promote knowledge sharing among UN Agencies on fields of common interest
MDA;Moldova;376;risk;Lack of sufficient commitment from Agencies to recruit staff from under-represented minority groups;;Negligible;Slight Concern;Monitor;To ensure there are common practices applied in recruitment processes promoting inclusiveness.
MDA;Moldova;376;risk;Limited need of the services (only 3 HACT Agencies);;Definite;Negligible;Accept;To discuss within HACT Working Group how information gathered through HACT assurance activities can benefit other Agencies
MDA;Moldova;376;risk;Limited participation in common learning activities;;Possible;Minor;Control;Encourage staff participation in common learning activities by conducting staff surveys and providing trainings in the areas of common interest
MDA;Moldova;376;risk;Varying operating policies and procedures in different agencies;;Possible;Slight Concern;Monitor;Reinforce the Mutual Recognition principle
STP;Sao Tome and Principe;378;risk;Banking services are restricted to a couple of Financial Institutions who have a monopoly in Sao Tom;;Possible;Slight Concern;Transfer;OMT Finance WG will discuss with the OMT and find solutions.
STP;Sao Tome and Principe;378;risk;Congruence of help desk needs and response systems cannot be reached;;Negligible;Minimal;Avoid;OMT ICT WG will discuss with the OMT and find solutions.
STP;Sao Tome and Principe;378;risk;Data will not be available to ensure completion of all required micro assessments;;Remote;Minimal;Control;OMT Finance WG will discuss with the OMT and find solutions.
STP;Sao Tome and Principe;378;risk;Different thresholds for audit and spot-checks among participating Agencies.;;Possible;Minor;Transfer;OMT Finance WG will discuss with the OMT and find solutions.
STP;Sao Tome and Principe;378;risk;Headquarter policies do not support unified country based approaches to joint procurement services e;;Negligible;Minor;Transfer;OMT will promote the Mutual Recognition.
STP;Sao Tome and Principe;378;risk;In-Country technical capacity issues might limit the execution of strategic initiatives;;Possible;Slight Concern;Accept;OMT WGs will discuss with the OMT and find solutions.
STP;Sao Tome and Principe;378;risk;Lack of understanding or in-depth information on existing work flows, processes and activity levels;;Possible;Significant Concern;Control;OMT will discuss with DCO for possible CD training.
STP;Sao Tome and Principe;378;risk;That UN Agencies in the Sao Tome & Principe might be resistant to change and deter the initiatives;;Remote;Minor;Control;OMT will discuss with UNCT and find solutions.
STP;Sao Tome and Principe;378;risk;The UN system will not be able to access the resources needed to provide much needed capacity develo;;Possible;Slight Concern;Control;OMT WG will discuss with the OMT and find solutions.
STP;Sao Tome and Principe;378;risk;Variations in  hardware and connectivity might restrict  spare part replacement and maintenance supp;;Possible;Minor;Control;OMT ICT WG will discuss with the OMT and find solutions.
SEN;Senegal;380;risk;All Agencies may not willing to harmonize systems and contracts and therefore it will hinder cost-avoidance and quality improvement;;Possible;Slight Concern;Monitor;OMT monitor and discuss with the UNCT for possible solutions.
SEN;Senegal;380;risk;Lack of engagement and commitment of participating Agencies for OMT activities;;Possible;Slight Concern;Control;OMT will discuss with the UNCT and find appropriate solutions
SEN;Senegal;380;risk;UNCT may not provide HR and Finance resources for the BOS activities;;Possible;High Concern;Monitor;The OMT will discuss with the UNCT for solutions
SRB;Serbia;381;risk;Agency specific procedures limit areas of joint approach;;Negligible;Negligible;Accept;all agencies have same rules and regulations related to this subject
SRB;Serbia;381;risk;Lack of actual resources within OMT;;Negligible;Negligible;Control;Proper planning of the exercise
SRB;Serbia;381;risk;Lack of capacity -  smaller agencies lack replacement capacity for operations staff member;;Negligible;Negligible;Accept;does not affect this service
SLE;Sierra Leone;382;risk;Some UN Agencies may not agree or not be able to use the ERP system.;;Possible;Minor;Control;Organize training sessions for agency staff.
SLE;Sierra Leone;382;risk;Some UN Agencies maybe reluctant to participate or collaborate in the furtherance of the common activities.;;Highly Possible;Significant Concern;Control;Increase awareness of BOS compliance at UNCT for all Representative.
SLE;Sierra Leone;382;risk;Some UN Agencies maybe reluctant to participate or collaborate in the furtherance of the common activities.;;Possible;High Concern;Transfer;Increase awareness and emphasize compliance of the BOS implementation to all agency
SLE;Sierra Leone;382;risk;UN Agencies may not be able identify women-owned vendors that meets the eligibility requirements.;;Highly Possible;High Concern;Monitor;Increase awareness on UN processes for women vendors.
SLE;Sierra Leone;382;risk;UN Agencies may not be able identify women-owned vendors that meets the eligibility requirements.;;Possible;Slight Concern;Accept;Increase the awareness of gender balance in tender processes.
SLE;Sierra Leone;382;risk;UN Agencies may not be able to conduct in-person training due to COVID-19.;;Possible;Minimal;Monitor;Create awareness about COVID and implement the COVID protocols and measures.
SLE;Sierra Leone;382;risk;UN Agencies may not be able to identify women-owned vendors that meets the eligibility requirements.;;Highly Possible;Significant Concern;Monitor;Increase awareness on UN processes for UN Women.
SLE;Sierra Leone;382;risk;UN Organizations will have different Human Resources policies that may hinder joint recruitment.;;Possible;Slight Concern;Transfer;Increased awareness for women vendor's on UN tendering processes.
SOM;Somalia;383;risk;Budget cuts and/or availability of funding for implementation of common services;;Possible;Significant Concern;Accept;Revise planned common services activities, and reduce common costs. Identify new sources of funding, and seek donor support.
SOM;Somalia;383;risk;Challenges from the transition to the use of new common services / change management issues;;Highly Possible;Slight Concern;Control;Ensure proper handover is done when key staff is transitioning or replaced.
SOM;Somalia;383;risk;Force majeure;;Possible;Significant Concern;Control;Force majeure events affecting the BOS will be managed and controlled by the SMT, DO, and UNCT in collaboration with the OMT.
SOM;Somalia;383;risk;Government Changes can influence BOS;;Remote;Minimal;Control;The OMT to ensure that the BoS planned activities are flexible enough and sufficiently adaptable to possible changes in governmental attitudes.
SOM;Somalia;383;risk;Only partial participation by agencies;;Remote;Minimal;Control;The OMT Chair requests the RC's assistance in reminding the non-participating agencies that they are required to contribute to the BOS.
SOM;Somalia;383;risk;"Political, socio-economic and other macro-economic factors, may impact on
implementing";;Possible;Slight Concern;Monitor;Adapt common services activities as required by the socio/economic context evolution. The SMT and OMT to conduct continuous monitoring of external socio/economic factors that could negatively impact t
ZAF;South Africa;384;risk;Agency non-participation and resultant BOS data quality;;Possible;High Concern;Control;Ensure DCO support to agencies to capacitate BOS implementers
ZAF;South Africa;384;risk;BOS implementers not adequately capacitated to implement and monitor the BOS.;;Possible;Significant Concern;Control;Organize knowledge sharing and capacity building sessions for BOS implementers.
ZAF;South Africa;384;risk;Covid-19 regulations may still affect planned implementation;;Possible;Slight Concern;Monitor;OMT and OMT WG will discuss and find applicable solution
ZAF;South Africa;384;risk;Delayed finalization of the BOS review;;Possible;Significant Concern;Control;Follow up with participating agencies and working groups to ensure timely update of agency data.
ZAF;South Africa;384;risk;Delayed implementation of future common services.;;Possible;Slight Concern;Monitor;Review implementation plans and make adjustments to implementation timelines as necessary
ZAF;South Africa;384;risk;Reduced funding for activity implementation.;;Remote;Minimal;Transfer;OMT and OMT WG will discuss and find applicable solution
SDN;Sudan;385;risk;Adequate hardware and connectivity is not sufficient to support the operational and security telecom;;Possible;Minimal;Control;Install required infrastructure with help for TEC team. Back up system is arranged in case of radio frequencies are disrupted.
SDN;Sudan;385;risk;Banking services may be restricted disrupting UN programme and operations services;;Possible;Slight Concern;Accept;Establish alternative mechanism  with banking partners at UN compound for uninterrupted banking services.
SDN;Sudan;385;risk;Congruence of help desk needs and response systems cannot be reached;;Negligible;Negligible;Control;ICT WG has expertise to support the activities. Support from respective regional office could also be sought
SDN;Sudan;385;risk;Data will not be available to ensure completion of all required micro assessments;;Negligible;Minimal;Control;Micro assessment and due diligence exercise is carried out annually to ensure availability of required data for working with partner.
SDN;Sudan;385;risk;Delivery of internet within the country may not support web based common service innovations.;;Highly Possible;Significant Concern;Accept;Dedicated service lines are arranged for UN partner including VSAT point to point connection to all offices
SDN;Sudan;385;risk;Government systems do not allow for a unified approach to tax refund and exemption;;Highly Possible;High Concern;Monitor;High level engagement should be made with the authority for requesting up-front tax exemption
SDN;Sudan;385;risk;Headquarter policies do not support unified country based approaches to joint procurement services;;Negligible;Negligible;Control;Carry out procurement action with engagement of HQ on mutual recognition arrangement.
SDN;Sudan;385;risk;In country restrictions negatively effect access to mobile medical clinic services;;Negligible;Minimal;Accept;Establish medical facilities in Darfur and other location to expand coverage.
SDN;Sudan;385;risk;Road networks are unstable and may disrupt overland cargo transport schedules;;Possible;Slight Concern;Control;Prepositioning arrangement to be made to cover at least for some time to avoid any possible disrupt of overland cargo transport due to rainy season or any other disruption
SDN;Sudan;385;risk;That UN agency inputs into human resources surveys are not received within prescribed timeframes;;Negligible;Negligible;Avoid;Timely survey action carried out for establishing standard benefit package for each duty station.
SDN;Sudan;385;risk;The UN system will not be able to access the resources needed to provide capacity development activi;;Negligible;Minimal;Control;Joint training is organize for all cooperating partners through a HACT team.
SDN;Sudan;385;risk;Warehouse infrastructure is not sufficient to meet UN agency joint needs;;Negligible;Negligible;Control;Adequate warehouse instructure in all Sudan well established by WFP in secured location. These could be used for joint needs
THA;Thailand;387;risk; Vendor does not agree to consolidate entities under 1 contract;;Possible;Slight Concern;Control;Encourage entities to consolidate.
THA;Thailand;387;risk;Existing human resources may not be able to handle the increased workload;;Highly Possible;Slight Concern;Control;If the number of mobile connections is more than 10 , we ask agencies to manage by themselves.
THA;Thailand;387;risk;ICT/Data Center: Entities not able to participate in colocation of server room due to MR differences;;Highly Possible;Significant Concern;Monitor;Monitor UNDP and UNFPA who are not joining Datacenter colo project because they want to work cloud based solution.
THA;Thailand;387;risk;ICT/Data Center: Lack of budget to relocate server room;;Negligible;Negligible;Avoid;Cost is very low, agency or ESCAP is willing to allocate small budget.
THA;Thailand;387;risk;ICT/Internet Conn & VSAT: Entities cannot participate in common contract due to MR differences;;Possible;Minimal;Accept;Encourage entities to accept MR differences
THA;Thailand;387;risk;ICT/Joint ICT Infrastructure (printing): Entities not joining if they cannot create own network;;Possible;Minimal;Transfer;Vender needs to provide a cloud-based printing solution.
THA;Thailand;387;risk;ICT/Joint ICT Infrastructure (printing): Entities unable to use existing LTA due to MR differences;;Negligible;Minimal;Accept;Could based solution will be acceptable to entries.
